,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.9590764512320489,0.0581177026764913,0.06338680143558192,0.0605656666903807
Random Forest,0.97642667984726,0.3711208494283012,0.18960521497106864,0.2508606604342508
Gradient Boosting,0.9790985568559558,0.08,0.0010825459605947412,0.002136185383244207
Logistic Regression,0.9791887447003791,0.0,0.0,0.0
